,Size,Size_unit,Property_type,Location,Seller_name,Seller_type,Rent_price,Area_sqft,Status,Security_deposit,Bathroom,Facing_direction
0,2,BHK,Independent Floor,Uttam Nagar,seller,Verified Owner,"8,500",500,Semi-Furnished,No,1,NorthWest
1,3,BHK,Independent House,Model Town,seller,Verified Owner,"48,000",1020,Furnished,No,3,South
2,2,BHK,Apartment,Sector 13 Rohini,seller,Verified Owner,"20,000",810,Unfurnished,No,2,
3,3,BHK,Apartment,DLF Farms,seller,Verified Owner,"11,000",750,Semi-Furnished,No,1,
4,3,BHK,Independent Floor,laxmi nagar,seller,Verified Owner,"20,000",1300,Furnished,No,2,
5,3,BHK,Independent Floor,Swasthya Vihar,seller,Verified Owner,"35,000",1200,Furnished,No,2,
6,3,BHK,Independent House,Janakpuri,seller,Verified Owner,"39,000",1100,Semi-Furnished,No,2,
7,2,BHK,Apartment,Neeti Bagh,Neon Properties,Agent,"65,000",1500,Semi-Furnished,No,2,NorthEast
8,3,BHK,Independent Floor,Janakpuri,Mahadev renting Expert,Agent,"32,500",1100,Semi-Furnished,No,2,
9,3,BHK,Independent Floor,Uttam Nagar,Gaurav Dahiya,Agent,"25,000",1125,Semi-Furnished,No,2,
10,1,BHK,Independent Floor,Lajpat Nagar II,MAA KALKA PROPERTIES,Agent,"25,000",500,Furnished,No,1,
11,4,BHK,Independent Floor,Defence Colony,R M reality,Agent,3.25 L,2700,Semi-Furnished,No,5,
12,3,BHK,Independent Floor,Freedom Fighters Enclave,Residence Hub,Agent,"38,000",1600,Semi-Furnished,No,3,
13,3,BHK,Independent Floor,Rajouri Garden,Sweet home associates,Agent,"75,000",1800,Semi-Furnished,No,3,
14,1,BHK,Independent Floor,Malviya Nagar,M V Properties,Agent,"25,000",700,Semi-Furnished,No,2,East
15,3,BHK,Independent Floor,Sector 8 Dwarka,Surya Homes Developers,Agent,"55,000",1900,Semi-Furnished,No,3,East
16,3,BHK,Apartment,Sector 19 Dwarka,Shri Neelkanth Estate,Agent,"45,000",2000,Semi-Furnished,No,3,NorthEast
17,3,BHK,Independent Floor,Greater kailash 1,Real proeprty,Agent,1.25 L,2000,Furnished,No,3,East
18,4,BHK,Apartment,Vasant Kunj,World Wide Infra,Agent,"90,000",2800,Semi-Furnished,No,4,
19,3,BHK,Independent Floor,Govindpuri,Rana Property,Agent,"25,000",950,Semi-Furnished,No,2,
20,4,BHK,Independent Floor,South Extension 1,Jai Shiv Properties,Agent,1.25 L,2500,Furnished,No,4,
21,3,BHK,Independent Floor,Sundar Nagar,Access India,Agent,2.75 L,3200,Semi-Furnished,8.25 L,4,
22,4,BHK,Apartment,Saket,Sweet Homes Real Estate,Agent,"40,000",2000,Semi-Furnished,No,4,South
23,1,BHK,Independent Floor,Shahdara,CK Home Solutions,Agent,"8,300",450,Semi-Furnished,No,1,
24,3,BHK,Independent Floor,Malviya Nagar,Adarsh Associates,Agent,"55,000",1125,Furnished,No,2,
25,2,BHK,Independent Floor,Lajpat Nagar I,Sangam Property,Agent,"50,000",900,Semi-Furnished,No,2,
26,4,BHK,Independent Floor,Defence Colony,Karya Properties,Agent,2.76 L,2750,Semi-Furnished,No,4,
27,3,BHK,Apartment,Sector 9 Dwarka,Sar Associates,Agent,"45,000",1800,Furnished,No,3,
28,2,BHK,Apartment,Mundka,jay Property,Agent,"15,000",1244,Semi-Furnished,No,2,
29,3,BHK,Independent Floor,Rohini sector 24,Rawat Constructions,Agent,"26,000",1100,Semi-Furnished,No,2,
30,2,BHK,Independent Floor,Model Town,Sharma Properties,Agent,"24,000",900,Semi-Furnished,No,2,West
31,3,BHK,Independent Floor,vikaspuri,Pankaj,Agent,"55,000",1800,Semi-Furnished,No,3,South
32,1,BHK,Independent Floor,New Ashok Nagar,mahadev properties,Agent,"10,000",500,Unfurnished,No,1,East
33,2,BHK,Independent Floor,Sector 25 Rohini,Mahavir Developers,Agent,"13,000",650,Semi-Furnished,No,2,
